,Time_Gyr,ExpansionFactor,zPositionAbsMedian_kpc
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,3.911395417791096,0.3749995936718436,0.618735152810023
66,4.047462659359281,0.3839899945738943,0.5372022749339782
67,4.216501575170758,0.395063440663206,0.5858928121444456
68,4.362284942489244,0.40453486082803386,0.5099774602133167
69,4.51264561130662,0.41423335287728646,0.5477337190796044
70,4.667681813768118,0.42416436072959446,0.6127630387166653
71,4.827489579195381,0.4343334588184266,0.6075163214878627
72,4.992162284945694,0.4447463552211064,0.739633046515714
73,5.127463975584815,0.45325613023749545,0.7587382080876189
74,5.301118608921481,0.46412268687092223,0.6563995382320336
75,5.443716379840261,0.4730032085410998,0.6294703490247631
76,5.589624137566063,0.4820536500780824,0.5899874249424631
77,5.738880497072539,0.4912772627279358,0.5356669965624006
78,5.930215178562359,0.5030553542792862,0.5471077730694713
79,6.087135431528504,0.5126808134549512,0.5522414022968811
80,6.207093384097111,0.5200205801199638,0.5770510621027449
81,6.370083836372647,0.5299706518603222,0.5857805243102503
82,6.536579634205232,0.5401111082343341,0.6120145347881136
83,6.706603691236406,0.5504455920608321,0.6123102313772654
84,6.836449148310662,0.5583260161014446,0.6316314194938474
85,7.012693145756433,0.5690090239036288,0.6452252921796344
86,7.147221247683246,0.5771552102951079,0.6604249628137533
87,7.329727457563047,0.5881984958251407,0.6666087612256868
88,7.468962790806977,0.596619407235837,0.6498261914890565
89,7.657754221443944,0.6080351206337894,0.6605676931145752
90,7.80170653839661,0.616740021992414,0.6596090742579963
91,7.947679589081643,0.6255695465925124,0.6560801368094201
92,8.095671082722221,0.6345254785958663,0.6697917556655362
93,8.296126559325902,0.6466664866145445,0.6949001594908097
94,8.448811765562718,0.6559244517992534,0.7059677452759128
95,8.60349865622863,0.6653149581332802,0.712756431401919
96,8.760179450310375,0.6748399031346985,0.7180863093925005
97,8.918845098217659,0.684501211487295,0.7213171969596402
98,9.079485288786328,0.6943008354294861,0.7282447728723757
99,9.242088459951992,0.7042407551488017,0.72763232323109
100,9.406641813093389,0.7143229791820179,0.7328739155962407
101,9.573131331020738,0.7245495448210172,0.7326378170511352
102,9.741541799560094,0.7349225185244588,0.7506779034467045
103,9.854874595547287,0.7419202059930923,0.750362500331321
104,10.026449669104903,0.7525418658117033,0.7555662762971586
105,10.19989947196752,0.7633155900388464,0.7625902338782197
106,10.375204641492832,0.7742435556962617,0.7575476416639101
107,10.552344763553133,0.7853279709729014,0.7657017259041057
108,10.67144705609926,0.7928056023731169,0.7658481660066876
109,10.85159733936031,0.8041557601699713,0.7618619575047222
110,11.033523308792786,0.8156684118765909,0.7691137371173646
111,11.155782009390867,0.823434934850752,0.7742149495803426
112,11.340613907183545,0.8352235958012078,0.7768451246369463
113,11.527155884914245,0.8471810284677068,0.7894740158610007
114,11.652454415336605,0.8552476040823377,0.7872722788088901
115,11.841788296065106,0.8674917093619414,0.7937064534077759
116,11.968923189270404,0.8757516765159388,0.7974392965261972
117,12.160973462266846,0.8882893272206793,0.798268007548758
118,12.354616159128053,0.9010064725120812,0.7925260556305915
119,12.48458181323533,0.9095855560793044,0.7983148874352368
120,12.680814521632618,0.9226075876597282,0.802458221222519
121,12.812479750823842,0.9313923498515226,0.7935095518926649
122,13.011220678541196,0.9447265771954694,0.8004776016865747
123,13.144530370226075,0.9537219490392906,0.7965698614529035
124,13.345696086314069,0.9673758568617342,0.8002237483699368
125,13.48059417811007,0.9765868876036025,0.8029259181458891
126,13.684100038722406,0.99056814006128,0.804079440439193
127,13.82052979916365,0.9999999999999998,0.8196503151195048
