,Time_Gyr,ExpansionFactor,zPositionAbsMedian_kpc
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,9.854874595547287,0.7419202059930923,0.24463017453308647
104,10.026449669104903,0.7525418658117033,0.22095081878815542
105,10.19989947196752,0.7633155900388464,0.2133839368562822
106,10.375204641492832,0.7742435556962617,0.2115051756178804
107,10.552344763553133,0.7853279709729014,0.2184187853654579
108,10.67144705609926,0.7928056023731169,0.22182373363249588
109,10.85159733936031,0.8041557601699713,0.2223643323584567
110,11.033523308792786,0.8156684118765909,0.2154442639574328
111,11.155782009390867,0.823434934850752,0.2158009953745817
112,11.340613907183545,0.8352235958012078,0.21494936130564518
113,11.527155884914245,0.8471810284677068,0.21097754732160173
114,11.652454415336605,0.8552476040823377,0.21206449933281632
115,11.841788296065106,0.8674917093619414,0.2046191208491322
116,11.968923189270404,0.8757516765159388,0.20563981777783397
117,12.160973462266846,0.8882893272206793,0.20169539306088496
118,12.354616159128053,0.9010064725120812,0.20714314938031156
119,12.48458181323533,0.9095855560793044,0.20982264342302123
120,12.680814521632618,0.9226075876597282,0.2083587195784523
121,12.812479750823842,0.9313923498515226,0.20920256275401078
122,13.011220678541196,0.9447265771954694,0.2149551403695076
123,13.144530370226075,0.9537219490392906,0.21495636246687436
124,13.345696086314069,0.9673758568617342,0.21535626833960708
125,13.48059417811007,0.9765868876036025,0.2169272929155451
126,13.684100038722406,0.99056814006128,0.21834017056156146
127,13.82052979916365,0.9999999999999998,0.23806116947911024
